,Sample,N,Location,Strat_height_C22-4,Measurement,Type,Mineralogy,Category,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,Ca,Mg,Sr,Mn,altered,alt_spline,color,d18O_T_KON97_icefree,age_model_BW
21,BW-210.8-A,1.0,BW,210.8,clumped,Brachiopod,Calcite,Fossil,95.9,3.88,-4.784354537581506,-3.6,1.6,1.6,3.1,3.2,3.1,3.2,0.5896,0.0238,,0.0468,26.5,7.9,8.5,15.1,17.8,14.9,17.5,,,,,,,y,8.0,"(0.8, 0.47058823529411764, 0.7372549019607844)",35.86,352.4452173913043
22,BW-210.8-B,3.0,BW,210.8,clumped,Matrix,Calcite,Matrix,94.0,3.48,-5.366358960815116,-4.2,1.0,1.0,1.9,2.0,1.9,1.9,0.5894,0.0145,0.0355,0.0284,26.5,4.9,5.1,9.5,10.5,9.3,10.3,0.1392,0.0871,,,,,y,8.0,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",39.0,352.4452173913043
23,BW-214,1.0,BW,214.0,clumped,Bulk,Calcite,Bulk,98.0,5.03,-3.503944806467549,1.6,1.7,1.9,3.5,3.8,3.4,3.7,0.532,0.025,,0.0491,48.5,10.1,11.2,19.4,23.6,19.1,23.2,,,54062.857142857145,175.9125,22.1,6.4750000000000005,y,4.396472797892768,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",29.15,352.52173913043475
24,BW-218,1.0,BW,218.0,clumped,Bulk,Calcite,Bulk,101.0,5.29,-3.7561467232021135,-2.6,1.7,1.7,3.3,3.4,3.2,3.4,0.5896,0.0249,,0.0489,26.5,8.2,8.9,15.8,18.7,15.5,18.4,,,52041.42857142857,168.4,28.545,5.181666666666668,y,2.7573010784102854,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",30.45,352.6173913043478
25,BW-220,3.0,BW,220.0,clumped,Bulk,Calcite,Bulk,94.7,5.45,-3.775546870643231,-1.8,1.0,1.0,2.0,2.0,1.9,2.0,0.5775,0.0147,0.0111,0.0288,30.7,5.1,5.4,10.0,11.1,9.8,10.9,,,,,,,y,5.612227510287062,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",30.55,352.66521739130434
26,BW-222,6.0,BW,222.0,clumped,Bulk,Calcite,Bulk,88.1,5.3,-3.833747312966594,-1.8,0.7,0.7,1.4,1.4,1.3,1.3,0.5763,0.01,0.0188,0.0196,31.1,3.5,3.7,7.0,7.5,6.8,7.3,0.2319,0.0377,51630.0,106.30625,19.145,3.962333333333333,n,7.04338518834294,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",30.85,352.7130434782609
27,BW-226,6.0,BW,226.0,clumped,Bulk,Calcite,Bulk,98.1,5.38,-3.2711430371741006,-0.5,0.7,0.7,1.4,1.4,1.4,1.4,0.5655,0.0102,0.0162,0.02,35.1,3.8,3.9,7.4,7.9,7.2,7.8,,,53060.0,150.31875000000002,23.0,4.992666666666667,n,6.486596403265336,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",27.96,352.8086956521739
28,BW-230,1.0,BW,230.0,clumped,Bulk,Calcite,Bulk,100.6,5.33,-3.727046502040432,-0.4,1.7,1.8,3.3,3.6,3.3,3.5,0.5573,0.0248,,0.0486,38.2,9.2,10.0,17.5,21.1,17.2,20.6,,,66317.14285714286,156.06625000000005,32.675,6.460333333333334,n,4.378401484610155,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",30.3,352.90434782608696
29,BW-234,10.0,BW,234.0,clumped,Bulk,Calcite,Bulk,100.8,5.48,-3.7949470180843545,-1.2,0.5,0.6,1.1,1.1,1.0,1.1,0.5678,0.008,0.0239,0.0156,34.2,2.9,3.0,5.8,6.1,5.6,6.0,0.2324,0.031,48487.142857142855,88.57000000000001,26.285,4.542333333333333,y,4.310369042353643,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",30.65,353.0
30,BW-238,1.0,BW,238.0,clumped,Bulk,Calcite,Bulk,97.8,5.46,-3.4651445115853017,0.7,1.8,1.7,3.4,3.6,3.4,3.5,0.5462,0.0247,,0.0486,42.6,9.5,10.4,18.2,22.0,17.9,21.6,,,54548.57142857143,117.40125,25.015,6.027333333333334,n,6.204208692138871,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",28.95,353.09565217391304
31,BW-240,3.0,BW,240.0,clumped,Bulk,Calcite,Bulk,98.2,5.46,-2.6600383927788007,1.6,1.1,1.1,2.2,2.2,2.1,2.2,0.5447,0.0154,0.0027,0.0303,43.2,6.1,6.4,11.8,13.3,11.6,13.0,,,,,,,y,5.37287614312175,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",24.89,353.1434782608696
32,BW-241-A,3.0,BW,241.0,clumped,Rugose,Calcite,Fossil,96.9,5.28,-1.6706308732816564,-2.6,1.0,0.9,1.9,1.9,1.9,1.9,0.6215,0.0148,0.0499,0.0291,16.0,4.5,4.7,8.7,9.6,8.6,9.4,0.2322,0.0624,,,,,y,4.0,"(0.00784313725490196, 0.6196078431372549, 0.45098039215686275)",20.06,353.1673913043478
33,BW-241-B,10.0,BW,241.0,clumped,Matrix,Calcite,Matrix,96.0,5.27,-2.417536549764794,0.2,0.6,0.5,1.1,1.1,1.1,1.1,0.5681,0.0079,0.0219,0.0155,34.1,2.9,3.0,5.7,6.0,5.6,5.9,0.2354,0.0368,,,,,y,4.0,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",23.69,353.1673913043478
34,BW-242,1.0,BW,242.0,clumped,Bulk,Calcite,Bulk,99.5,5.58,-3.562145248790906,0.2,1.7,1.8,3.3,3.7,3.3,3.6,0.5507,0.0248,,0.0486,40.8,9.4,10.3,18.0,21.7,17.6,21.2,,,50951.42857142857,135.0475,22.64,4.120333333333333,y,2.0112174869544472,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",29.45,353.1913043478261
35,BW-246,4.0,BW,246.0,clumped,Bulk,Calcite,Bulk,103.9,5.14,-3.8725476078488352,-1.1,0.8,0.8,1.6,1.6,1.5,1.6,0.5655,0.0117,0.0152,0.0229,35.1,4.3,4.5,8.4,9.2,8.2,9.0,0.1675,0.043,51362.857142857145,134.31625,31.135,4.867,n,3.596332028337161,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",31.05,353.2869565217391
36,BW-248,1.0,BW,248.0,clumped,Bulk,Calcite,Bulk,98.2,3.34,-4.541852694567499,-2.3,1.5,1.5,3.0,3.1,2.9,3.1,0.5734,0.0224,,0.0441,32.2,7.8,8.5,15.1,17.7,14.9,17.4,0.2892,0.0824,,,,,n,6.557729860601787,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",34.56,353.33478260869566
37,BW-250,10.0,BW,250.0,clumped,Bulk,Calcite,Bulk,104.1,5.19,-3.164442226247938,-0.6,0.5,0.6,1.0,1.1,1.0,1.1,0.568,0.0079,0.0155,0.0155,34.2,2.9,3.0,5.7,6.0,5.6,5.9,0.2267,0.0343,51055.71428571428,107.5475,24.275,4.582333333333334,y,2.0,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",27.42,353.3826086956522
38,BW-252.6-A,1.0,BW,252.6,clumped,Crinoid,Calcite,Fossil,103.7,5.44,-0.7782240909901094,-0.9,1.6,1.7,3.1,3.3,3.0,3.3,0.6082,0.0245,,0.0481,20.3,7.6,8.2,14.7,17.2,14.4,16.9,,,,,,,y,0.0,"(0.8352941176470589, 0.3686274509803922, 0.0)",15.86,353.4447826086957
39,BW-252.6-B,5.0,BW,252.6,clumped,Crinoid,Calcite,Fossil,89.6,6.38,-1.8840324951339813,-0.2,0.7,0.7,1.5,1.5,1.5,1.5,0.5816,0.011,0.0206,0.0216,29.2,3.8,4.0,7.5,8.1,7.4,7.9,,,,,,,y,0.0,"(0.8352941176470589, 0.3686274509803922, 0.0)",21.09,353.4447826086957
40,BW-252.6-C,5.0,BW,252.6,clumped,Matrix,Calcite,Matrix,96.5,5.62,-2.514537286970398,-0.9,0.8,0.8,1.5,1.6,1.5,1.5,0.5827,0.0115,0.0286,0.0225,28.9,4.0,4.1,7.8,8.4,7.6,8.3,0.238,0.0651,,,,,y,0.0,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",24.17,353.4447826086957
41,BW-252.6-D,1.0,BW,252.6,clumped,Cement,Calcite,Cement,106.9,5.62,-6.103564563577702,-5.3,1.6,1.6,3.2,3.3,3.1,3.2,0.5951,0.0242,,0.0476,24.6,7.8,8.5,15.1,17.8,14.9,17.5,,,,,,,y,0.0,"(0.792156862745098, 0.5686274509803921, 0.3803921568627451)",43.07,353.4447826086957
