Sample,d13C,d18O_carb,thickness,age,,Sample_p,d18O_p,thickness_p,age_p
MS189,2,-10.9,198,351.1,,,,,
MS190,2.4,-5.2,199,351.1,,,,,
MS191,2.1,-9,200,351,,,,,
MS192,1.2,-7.1,201,351,,,,,
MS195,1.8,-5.3,204,351,,,,,
MS196,1.5,-5.6,205,351,,,,,
MS197,2.4,-5.7,206,351,,,,,
MS201,2.2,-4,210,351,,,,,
MS202,3,-3.3,211,351,,,,,
MS204,2,-4.8,213,350.9,,,,,
MS205,2.1,-4.4,214,350.9,,,,,
MS206,2.9,-2.7,215,350.9,,,,,
MS207,1.8,-4.8,216,350.9,,,,,
MS208,2.2,-4.1,217,350.9,,,,,
MS209,2.6,-5.4,218,350.9,,,,,
MS210,2.6,-5.1,219,350.9,,,,,
MS211,1.9,-4.7,220,350.9,,,,,
MS212,3,-3.8,221,350.9,,,,,
MS213,2.5,-4.9,222,350.9,,,,,
MS214,2.5,-4.1,223,350.9,,,,,
MS215,2.2,-2.5,224,350.9,,,,,
MS216,2.6,-4.5,225,350.8,,,,,
MS218,1.4,-3.9,227,350.8,,,,,
MS219,2.7,-3.9,228,350.8,,,,,
MS220,2.7,-3.3,229,350.8,,,,,
MS221,2.7,-4,230,350.8,,,,,
MS222,2.5,-3.9,231,350.8,,,,,
MS223,2.6,-4,232,350.8,,,,,
MS224,2.5,-3.9,233,350.8,,,,,
LS0.5,3.5,-4.2,259.5,350.6,,,,,
LS3.5,2.6,-4,262.5,350.6,,,,,
LS10.1,2.5,-5.4,269.1,350.5,,,,,
LS12,2.8,-4.7,271,350.5,,,,,
LS15.3,1.6,-6.1,274.3,350.5,,,,,
LS16,1.9,-6.9,275,350.5,,,,,
LS17,2,-10.7,276,350.5,,,,,
LS18.5,3.1,-4.9,277.5,350.4,,,,,
LS20,2.8,-4.6,279,350.4,,,,,
LS21.2,3.1,-4.3,280.2,350.4,,,,,
LS24.3,1.9,-4.3,283.3,350.4,,,,,
LS25.2,2.5,-5.4,284.2,350.4,,,,,
LS28.4,2.4,-5.3,287.4,350.4,,,,,
LS32,1.1,-5.6,291,350.3,,,,,
LS49.5,2.9,-6.2,308.5,350.2,,,,,
LS50.1,2.7,-6.2,309.1,350.2,,,,,
LS55,2.4,-9.1,314,349.8,,,,,
LS56,2.7,-4.3,315,349.8,,,,,
LS57.5,3.3,-3.8,316.5,349.7,,,,,
LS58.5,2.1,-9.9,317.5,349.6,,,,,
LS60,1.8,-10.3,319,349.5,,,,,
LS61,1.8,-10.1,320,349.4,,,,,
